epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1514.24,1.29528,3.74396,1.51141,0.80468,0.75511,0.79957,0.44556,1.6994,4.90559,1.7966,0.000118347,0.000118347,0.000118347
66,1537.94,1.30362,3.54901,1.48325,0.7873,0.76165,0.80495,0.43729,1.70903,4.9311,1.81506,0.000115149,0.000115149,0.000115149
67,1561.31,1.29746,3.61228,1.49268,0.8071,0.71844,0.79161,0.44856,1.67793,5.10365,1.76371,0.000111952,0.000111952,0.000111952
68,1584.91,1.27876,3.51348,1.46969,0.77402,0.74212,0.79986,0.41964,1.75943,4.74183,1.87194,0.000108754,0.000108754,0.000108754
69,1609.85,1.29947,3.45756,1.47054,0.82964,0.75584,0.81497,0.454,1.72251,4.78182,1.82353,0.000105556,0.000105556,0.000105556
70,1633.87,1.25989,3.50308,1.4604,0.86282,0.71401,0.80442,0.46012,1.71489,4.95305,1.82201,0.000102359,0.000102359,0.000102359
71,1658.36,1.26376,3.43992,1.45024,0.83518,0.7599,0.814,0.45226,1.78261,4.59247,1.89009,9.9161e-05,9.9161e-05,9.9161e-05
72,1682.74,1.25227,3.38573,1.45733,0.86067,0.75326,0.82053,0.4567,1.74889,4.50696,1.8456,9.59633e-05,9.59633e-05,9.59633e-05
73,1706.66,1.25941,3.26005,1.43507,0.85396,0.73011,0.80125,0.45569,1.70278,4.76474,1.78073,9.27656e-05,9.27656e-05,9.27656e-05
74,1730.78,1.22981,3.28226,1.44545,0.85598,0.73992,0.7878,0.44378,1.72807,4.80968,1.80979,8.95679e-05,8.95679e-05,8.95679e-05
75,1755.63,1.26745,3.27436,1.43527,0.83722,0.73348,0.79809,0.43835,1.74293,4.62005,1.8425,8.63702e-05,8.63702e-05,8.63702e-05
76,1780.65,1.23169,3.34,1.43959,0.85105,0.75068,0.81806,0.45903,1.70712,4.32309,1.80559,8.31725e-05,8.31725e-05,8.31725e-05
77,1805.86,1.20725,3.21308,1.42901,0.82581,0.7424,0.80309,0.45478,1.75661,4.4088,1.86975,7.99748e-05,7.99748e-05,7.99748e-05
78,1830.23,1.24742,3.2848,1.45653,0.85124,0.73845,0.81711,0.45645,1.73278,4.35099,1.86021,7.67771e-05,7.67771e-05,7.67771e-05
79,1853.97,1.21024,3.24488,1.4255,0.83123,0.74125,0.80881,0.45822,1.69131,4.26401,1.81808,7.35794e-05,7.35794e-05,7.35794e-05
80,1879.58,1.21476,3.21453,1.43717,0.7837,0.77434,0.81208,0.44765,1.74399,4.36243,1.84735,7.03817e-05,7.03817e-05,7.03817e-05
81,1905.04,1.13168,2.30009,1.43121,0.87927,0.72064,0.80172,0.46095,1.68902,4.2757,1.8192,6.7184e-05,6.7184e-05,6.7184e-05
82,1928.81,1.1318,2.2509,1.43993,0.83011,0.75012,0.79826,0.42515,1.80479,4.63462,1.92203,6.39863e-05,6.39863e-05,6.39863e-05
83,1953.41,1.12329,2.27128,1.4116,0.87632,0.70684,0.79532,0.45726,1.64171,4.72128,1.78436,6.07886e-05,6.07886e-05,6.07886e-05
84,1976.31,1.10783,2.15982,1.40968,0.80705,0.72069,0.78218,0.44629,1.7066,4.89006,1.87077,5.75909e-05,5.75909e-05,5.75909e-05
85,2000.9,1.11128,2.14154,1.4131,0.81703,0.70372,0.78432,0.44658,1.71013,4.92244,1.88523,5.43932e-05,5.43932e-05,5.43932e-05
86,2024.42,1.10064,2.17808,1.42844,0.76181,0.73397,0.78888,0.47056,1.67767,4.66645,1.82975,5.11955e-05,5.11955e-05,5.11955e-05
87,2048.92,1.11439,2.24759,1.41959,0.79325,0.75308,0.80326,0.46926,1.67849,4.59956,1.8094,4.79978e-05,4.79978e-05,4.79978e-05
88,2072.61,1.08797,2.1499,1.411,0.85201,0.70201,0.7982,0.48104,1.62388,4.60644,1.75632,4.48001e-05,4.48001e-05,4.48001e-05
89,2098.34,1.08722,2.15185,1.41103,0.85954,0.73677,0.81412,0.48789,1.63545,4.50893,1.75282,4.16024e-05,4.16024e-05,4.16024e-05
90,2123.55,1.06179,2.02609,1.36235,0.82066,0.76184,0.8125,0.48275,1.63882,4.50096,1.75568,3.84047e-05,3.84047e-05,3.84047e-05
91,2149.58,1.05521,2.02556,1.36664,0.84625,0.74248,0.8206,0.48317,1.67629,4.5814,1.80223,3.5207e-05,3.5207e-05,3.5207e-05
92,2177.85,1.05336,2.00971,1.35284,0.88193,0.71811,0.81938,0.50044,1.61456,4.50969,1.74159,3.20093e-05,3.20093e-05,3.20093e-05
93,2204.53,1.04384,2.16835,1.35846,0.83532,0.77346,0.82367,0.49036,1.64409,4.47697,1.78029,2.88116e-05,2.88116e-05,2.88116e-05
94,2231.48,1.04884,2.02917,1.35181,0.85212,0.74392,0.80653,0.48487,1.64263,4.58309,1.77732,2.56139e-05,2.56139e-05,2.56139e-05
95,2258.33,1.04238,1.93648,1.34746,0.85129,0.75267,0.81105,0.49033,1.59413,4.57695,1.74429,2.24162e-05,2.24162e-05,2.24162e-05
96,2285.33,1.03747,1.94951,1.34394,0.82118,0.73769,0.79274,0.47581,1.648,4.67422,1.80182,1.92185e-05,1.92185e-05,1.92185e-05
97,2311.71,1.0319,1.94303,1.35642,0.85173,0.69982,0.79725,0.47837,1.62087,4.69388,1.77941,1.60208e-05,1.60208e-05,1.60208e-05
98,2338.04,1.01358,1.92345,1.33741,0.82059,0.72718,0.79624,0.48167,1.63732,4.6917,1.79272,1.28231e-05,1.28231e-05,1.28231e-05
99,2365.1,1.01067,1.92472,1.34971,0.83995,0.73026,0.80636,0.48229,1.63352,4.67705,1.79395,9.6254e-06,9.6254e-06,9.6254e-06
100,2392.11,1.02054,1.92424,1.35367,0.86113,0.71522,0.8043,0.48136,1.62136,4.63104,1.787,6.4277e-06,6.4277e-06,6.4277e-06
